Fold,Real,Predicted
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,377.16608
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,696.3907
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,374.80304
1,0.0,143.98343
1,0.0,143.98343
1,0.0,253.8839
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,643.5697
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,671.7852
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,1373.7505
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
1,0.0,143.98343
