AJUSTE,TIEMPO,CIF,KILO,PAG,GRUPO,Prediccion_Ajuste_Modelo 1: Red Neuronal con Más Capas y Neuronas,Prediccion_Ajuste_Modelo 2: Red Neuronal con Menos Capas y Neuronas,Prediccion_Ajuste_Modelo 3: Red Neuronal con Capas Convolucionales (CNN)
0.0,44.57,300.0,32897.564,100.0,0,64.867874,16.078176,45.796234
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,69.98,803.565,1359.652,211.652,0,67.84164,50.71044,63.626186
0.0,69.98,618.38,300.0,109.592,0,69.13372,27.75643,62.873337
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,51.83,9523.01,843.052,1587.824,0,120.71911,335.47546,187.43625
0.0,44.79,300.0,32897.564,100.0,0,64.862854,16.047068,45.803795
0.0,10.4,300.0,32897.564,100.0,-1,108.131096,26.34818,72.93341
0.0,48.95,1041.915,600.74,497.084,0,76.704834,77.88139,57.655045
0.0,49.23,9658.81,10644.144,1168.888,0,108.131096,198.3741,114.941315
0.0,67.0,494.725,32897.564,165.704,0,64.386475,28.987158,70.01659
0.0,13.39,492.66,300.0,100.0,0,69.1054,28.966597,56.78838
0.0,51.83,1574.86,69.748,200.116,0,67.77847,25.408869,51.737488
0.0,10.06,471.275,300.0,100.0,0,69.83013,30.376905,57.52314
0.0,18.92,318.15,300.0,100.0,0,67.5478,26.624765,55.489643
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,13.95,1479.73,300.0,189.672,0,69.77907,36.25882,56.85868
0.0,6.0,440.965,32897.564,100.0,0,67.159744,32.95153,57.346287
0.0,69.98,1052.52,300.0,139.216,0,68.41932,32.708916,62.957523
0.0,69.98,382.305,300.0,100.0,0,69.31282,27.213018,62.896725
0.0,10.14,899.325,300.0,111.104,0,69.870636,30.90505,57.404724
0.0,22.73,3677.065,762.804,814.52,-1,108.131096,196.13147,98.74982
0.0,51.83,5000.0,2750.0,1350.0,0,112.38958,242.91885,132.1428
0.0,11.57,300.0,32897.564,100.0,-1,108.131096,25.81653,72.5011
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,9.96,300.0,300.0,100.0,0,69.88857,30.419443,57.5724
0.0,30.86,300.0,300.0,100.0,-1,108.131096,17.439661,56.05806
0.0,26.88,1113.245,300.0,289.8,0,69.981476,46.78237,55.12841
0.0,26.11,300.0,300.0,100.0,0,67.67534,23.57974,53.31553
0.0,44.98,300.0,300.0,100.0,0,67.76872,16.019423,50.314503
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,68.41,300.0,300.0,100.0,0,69.20227,23.53259,61.822083
0.0,26.68,335.965,32897.564,100.0,0,64.96509,23.370207,48.962036
0.0,69.98,300.0,300.0,100.0,0,69.26782,27.216818,62.90801
0.0,51.83,3500.0,49.448,124.292,0,68.09142,16.46068,50.908928
0.0,44.23,8277.43,899.304,2146.116,0,136.0075,509.3347,410.1599
0.0,24.86,7927.78,2808.68,2507.624,0,227.23206,632.7152,544.41547
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,20.77,300.0,300.0,100.0,0,67.57922,25.841288,54.932304
0.0,44.16,596.085,300.0,261.464,0,69.7344,36.322227,51.408024
0.0,69.98,1419.53,657.86,596.904,1,84.667984,214.44171,85.05582
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,27.89,4522.63,2428.916,100.0,0,69.008736,22.822062,52.316048
0.0,22.33,300.0,32897.564,100.0,-1,74.584755,22.177504,67.85507
0.0,69.98,300.0,300.0,100.0,0,69.267815,27.216818,62.90801
0.0,50.42,969.29,300.0,123.396,-1,108.131096,17.312628,56.03048
0.0,46.91,300.0,32897.564,100.0,0,64.81301,15.747232,45.87667
0.0,25.99,5000.0,2750.0,1350.0,0,108.131096,286.4213,141.21994
